rank,citeseq_public,multiome_public,total_score_public,citeseq_private,multiome_private,total_score_private
1,0.8912191938122624,0.6636415056909593,0.8142451608458676,0.845327165233046,0.5776764697624025,0.7756221655125065
2,0.8942639749447927,0.6635285668910826,0.8162219003782645,0.8477220049101105,0.5672191468279852,0.7746698814704774
3,0.8922953078301356,0.6630456340894122,0.8147557559974096,0.8440212773286679,0.5733063250336312,0.7735182448561029
4,0.8926694393120375,0.662969742773264,0.8149776754150329,0.845060196436352,0.5689243538614411,0.7731453867413168
5,0.8913816945045502,0.663587434691282,0.8143344100841373,0.8427778695326565,0.5741833897237167,0.7728270774859605
6,0.8934786035446834,0.6625049613297648,0.8153559505860907,0.844706102459666,0.5682666083890497,0.7727122119784368
7,0.8921549930111564,0.6437023990599309,0.8081204010647163,0.844100545558727,0.5696903298396289,0.7726351455664789
8,0.8902790672946432,0.6629722524881391,0.8133966523231195,0.8420642100925593,0.5735825932408216,0.7721428112532539
9,0.8928734060581003,0.6600698033687837,0.8141318020984392,0.8437232248630957,0.5687598061815742,0.7721137527163803
10,0.8927993792078414,0.6624585572799319,0.8148907662548228,0.843811631391845,0.5664779697119404,0.771584870404354
11,0.8922804579472966,0.6611749975670403,0.8141132198806995,0.8452458026030325,0.562388785735127,0.7715805791779264
12,0.8926971027528318,0.6631912983904868,0.8150709193743022,0.8434725453269954,0.5673328643964902,0.771556735998557
13,0.892662868219889,0.6635363760578987,0.8151649803261044,0.8448760480059507,0.5633331675887429,0.7715530687164989
14,0.8922154760078462,0.6624943731751249,0.8145164718194509,0.8438948686312797,0.5659714659387842,0.7715145197853841
15,0.8921506491560938,0.6624858472365112,0.8144706877323021,0.8439911528562543,0.5656736511031082,0.77150816771844
16,0.8918601748289136,0.6618853480391824,0.8140753531054494,0.8447331828838712,0.5633957911576409,0.7714637195739764
17,0.8919408097805855,0.662444613660059,0.8143178762159047,0.8435244905674993,0.5664206440751032,0.7713575809753236
18,0.8921359267873645,0.6615462536310737,0.8141431444115204,0.8435214634881081,0.5660947038522803,0.7712704567463506
19,0.8931400251960929,0.6625773934589047,0.8151563890907054,0.845055502096065,0.5616396063954171,0.7712447283341229
20,0.8921459317795999,0.661838147150493,0.8142484930947979,0.8435397779031348,0.5659406479769221,0.7712438802971037
21,0.8912868694318331,0.662522278495621,0.8139113880758492,0.8420891978717541,0.5698782421606138,0.7711965571543157
22,-0.03677121567708917,-0.00045559788187215405,-0.024488115411679803,-0.01872495951630461,0.0001376259790198219,-0.013812524992761765
23,0.8925880135739065,0.6626040130505453,0.8148000890011221,0.8440457647302951,0.5641648835169162,0.7711556244208979
24,0.8909224987908128,0.6619158135046181,0.8134651334037958,0.8428991417086434,0.567368626965739,0.771141979189853
25,0.8921583214473886,0.6606591305792281,0.8138579111713098,0.8435337483468994,0.5654028961276942,0.7710993728556557
26,0.8920400712683183,0.6622868636572684,0.8143302082198747,0.8438051619098882,0.5643560793875264,0.7710274761098421
27,0.8920314346805034,0.6624714780261355,0.8143869352695641,0.8432970946314148,0.5657300505610767,0.7710095532322332
28,0.8912737085932799,0.6622866806781883,0.8138229919561637,0.842570368592953,0.5672912130911864,0.7708786682460522
29,0.892981951781511,0.6624475739698141,0.8150078720549151,0.8445460134940084,0.5616679182626528,0.77087530057329
30,0.8902184829639542,0.6621502291875804,0.8130785250458766,0.8412312083459298,0.5708837236903108,0.7708238764717057
31,0.8918503756568239,0.6624604603253031,0.8142633896449286,0.8429080710560569,0.5657363124205974,0.7707234749194658
32,0.8915912090230833,0.6622720136953452,0.8140281427721607,0.8422552337368845,0.5673095461527595,0.7706503793481649
33,0.8918352171741363,0.6612903040360578,0.8138575740641221,0.8429728900817287,0.5650752167248655,0.7705992419968001
34,0.8916852589507447,0.6624626132527599,0.8141548488641626,0.8426143548142876,0.5656696935550066,0.7704889022660039
35,0.8916416583981499,0.6624623343542354,0.8141259010767666,0.8425364380938771,0.5656456705405783,0.7704250212302525
36,0.8920522560377817,0.6618458151809614,0.8141890950492394,0.8438965136242101,0.5609728456966415,0.7702139320820738
37,0.8871888020966375,0.6591604140767022,0.8100623280489503,0.8413544290047131,0.5680980663233125,0.7701895301022486
38,0.8900491038920048,0.6615734927915027,0.8127713647337916,0.8420587688606842,0.5653115761477226,0.7699847435838363
39,0.8907940904639156,0.6621838502467997,0.813470815444318,0.8404646226310966,0.5696771782107175,0.769942710836855
40,0.8906691390964081,0.6622164286632971,0.8133991456743489,0.8404124844915668,0.5697861473519438,0.76993253030532
41,0.890291784861808,0.6620497162743503,0.813093037230605,0.8411363205494138,0.5672543031241915,0.7698084806776887
42,0.8925163646557389,0.6629157331241384,0.8148581077039488,0.8426026371824299,0.5628531114404849,0.7697467061362796
43,0.8915335961647699,0.6626537413135761,0.8141191288762681,0.8409188459244006,0.5673653662934269,0.7696765680453915
44,0.8904893824196104,0.6612264972383696,0.8129453620563079,0.8416434161313613,0.5647780822861092,0.7695386230376063
45,0.8902275447971565,0.6589148164649089,0.8119902020981538,0.8398581578818184,0.5697865558422649,0.7695226748688199
